,Subject,Block,Emotion,Time
992,59DIN,5,Emotion,162
993,59DIN,5,Emotion,43
994,59DIN,5,Neutral,71
995,59DIN,5,Neutral,49
996,59DIN,6,Emotion,90
997,59DIN,6,Neutral,309
998,59DIN,6,Neutral,217
999,59DIN,6,Neutral,109
1000,59DIN,6,Emotion,87
1001,59DIN,6,Neutral,53
1002,59DIN,6,Emotion,285
1003,59DIN,6,Emotion,61
1004,59DIN,6,Emotion,227
1005,59DIN,7,Neutral,131
1006,59DIN,7,Neutral,43
1007,59DIN,7,Emotion,43
1008,59DIN,8,Emotion,46
1009,60CAN,1,Neutral,193
1010,60CAN,1,Neutral,161
1011,60CAN,1,Emotion,182
1012,60CAN,1,Neutral,158
1013,60CAN,1,Neutral,282
1014,60CAN,1,Emotion,90
1015,60CAN,1,Emotion,177
1016,60CAN,1,Emotion,125
1017,60CAN,2,Emotion,64
1018,60CAN,2,Neutral,299
1019,60CAN,2,Emotion,66
1020,60CAN,2,Emotion,139
1021,60CAN,2,Neutral,82
1022,60CAN,2,Neutral,189
1023,60CAN,2,Emotion,104
1024,60CAN,2,Emotion,145
1025,60CAN,2,Neutral,107
1026,60CAN,3,Neutral,270
1027,60CAN,3,Emotion,120
1028,60CAN,3,Neutral,224
1029,60CAN,3,Emotion,90
1030,60CAN,3,Emotion,123
1031,60CAN,3,Neutral,154
1032,60CAN,3,Neutral,154
1033,60CAN,3,Emotion,118
1034,60CAN,3,Neutral,267
1035,60CAN,3,Emotion,184
1036,60CAN,4,Emotion,160
1037,60CAN,4,Neutral,271
1038,60CAN,4,Neutral,92
1039,60CAN,4,Neutral,178
1040,60CAN,5,Emotion,109
1041,60CAN,5,Emotion,149
1042,60CAN,5,Emotion,107
1043,60CAN,6,Neutral,127
1044,60CAN,6,Emotion,88
1045,60CAN,6,Neutral,167
1046,60CAN,7,Neutral,124
1047,60CAN,7,Emotion,76
1048,60CAN,8,Neutral,132
1049,60CAN,8,Neutral,72
1050,60CAN,8,Neutral,163
1051,60CAN,8,Neutral,285
1052,60CAN,8,Emotion,90
